Date,Open,High,Low,Close,Adj Close,Volume
2015-07-14,25300.000000,25400.000000,24420.000000,24500.000000,253.318985,19989700
2015-07-15,24500.000000,24760.000000,24480.000000,24700.000000,255.386917,8370650
2015-07-16,24460.000000,25740.000000,24460.000000,25640.000000,265.106079,11173450
2015-07-17,26000.000000,26220.000000,25560.000000,26100.000000,269.862274,14861650
2015-07-20,25820.000000,26080.000000,25460.000000,25500.000000,263.658569,6446400
2015-07-21,25500.000000,25540.000000,24940.000000,25260.000000,261.177063,9702750
2015-07-22,24880.000000,25200.000000,24700.000000,25060.000000,259.109161,13416150
2015-07-23,24880.000000,25060.000000,24680.000000,24680.000000,255.180130,10448250
2015-07-24,24540.000000,24760.000000,24480.000000,24580.000000,254.146149,9829200
2015-07-27,24580.000000,24940.000000,24560.000000,24600.000000,254.352951,12152000
2015-07-28,24480.000000,25020.000000,24380.000000,24600.000000,254.352951,13381350
2015-07-29,25000.000000,25500.000000,24620.000000,25260.000000,261.177063,13734450
2015-07-30,25160.000000,25200.000000,24300.000000,24300.000000,251.251099,15419600
2015-07-31,24400.000000,24440.000000,23500.000000,23700.000000,245.047348,19579450
2015-08-03,23680.000000,23680.000000,23320.000000,23500.000000,242.979401,9844550
2015-08-04,23500.000000,23740.000000,23400.000000,23640.000000,244.426971,12844350
2015-08-05,23640.000000,23640.000000,23160.000000,23180.000000,239.670761,12802500
2015-08-06,23100.000000,23120.000000,22300.000000,22300.000000,230.571976,20199050
2015-08-07,22400.000000,22740.000000,22300.000000,22720.000000,234.914612,13787100
2015-08-10,22800.000000,22840.000000,22600.000000,22820.000000,235.948563,5722500
2015-08-11,23020.000000,23580.000000,22960.000000,23140.000000,239.257202,11664300
2015-08-12,23000.000000,23280.000000,22800.000000,23080.000000,238.636795,11154000
2015-08-13,23060.000000,23060.000000,22760.000000,22800.000000,235.741760,7520550
2015-08-14,22800.000000,22800.000000,22800.000000,22800.000000,235.741760,0
2015-08-17,22800.000000,22820.000000,22080.000000,22080.000000,228.297287,11360850
2015-08-18,22360.000000,22820.000000,22340.000000,22620.000000,233.880630,11583600
2015-08-19,23380.000000,23520.000000,22820.000000,23080.000000,238.636795,20070750
2015-08-20,23260.000000,23420.000000,22600.000000,22780.000000,235.534943,10805950
2015-08-21,21980.000000,22560.000000,21920.000000,22020.000000,227.676895,20442550
2015-08-24,21760.000000,22300.000000,20660.000000,21580.000000,223.127487,22429600
2015-08-25,21580.000000,22140.000000,21340.000000,21580.000000,223.127487,19625950
2015-08-26,21360.000000,21480.000000,21000.000000,21340.000000,220.646011,27947600
2015-08-27,21640.000000,21720.000000,21260.000000,21340.000000,220.646011,24769400
2015-08-28,21720.000000,21720.000000,21460.000000,21620.000000,223.541092,23111150
2015-08-31,21420.000000,21780.000000,21040.000000,21780.000000,225.195404,20415450
2015-09-01,21780.000000,21960.000000,21620.000000,21700.000000,224.368256,12018600
2015-09-02,21380.000000,21900.000000,21300.000000,21800.000000,225.402191,15634150
2015-09-03,22040.000000,22500.000000,21860.000000,22440.000000,232.019516,15200350
2015-09-04,22440.000000,22880.000000,22360.000000,22580.000000,233.467056,12570650
2015-09-07,22580.000000,22580.000000,22100.000000,22240.000000,229.951630,9590250
2015-09-08,22260.000000,22720.000000,22120.000000,22620.000000,233.880630,9116500
2015-09-09,22920.000000,22940.000000,22720.000000,22940.000000,237.189301,12968800
2015-09-10,22600.000000,22780.000000,22360.000000,22680.000000,234.501007,18128400
2015-09-11,22520.000000,22660.000000,22300.000000,22300.000000,230.571976,10208350
2015-09-14,22400.000000,22480.000000,22200.000000,22480.000000,232.433090,8353650
2015-09-15,22280.000000,22560.000000,22260.000000,22460.000000,232.226288,11647800
2015-09-16,22420.000000,23140.000000,22420.000000,23040.000000,238.223267,17188150
2015-09-17,23060.000000,23140.000000,22880.000000,23140.000000,239.257202,13698000
2015-09-18,22900.000000,23840.000000,22700.000000,23800.000000,246.081299,21813500
2015-09-21,23260.000000,23460.000000,23000.000000,23000.000000,237.809662,10267950
2015-09-22,22860.000000,23000.000000,22600.000000,22900.000000,236.775711,12533750
2015-09-23,22880.000000,22880.000000,22500.000000,22620.000000,233.880630,9882450
2015-09-24,22520.000000,22700.000000,22500.000000,22520.000000,232.846680,6636050
2015-09-25,22400.000000,22500.000000,22180.000000,22240.000000,229.951630,10458000
2015-09-30,22000.000000,22680.000000,21800.000000,22680.000000,234.501007,22946800
2015-10-01,22800.000000,22900.000000,22420.000000,22680.000000,234.501007,12052050
2015-10-02,22240.000000,22660.000000,22240.000000,22380.000000,231.399155,13715100
2015-10-05,22380.000000,22620.000000,22300.000000,22300.000000,230.571976,12096750
2015-10-06,22600.000000,23100.000000,22540.000000,23020.000000,238.016464,19149350
2015-10-07,23960.000000,25040.000000,23720.000000,25020.000000,258.695526,39975100
2015-10-08,25000.000000,25580.000000,25000.000000,25400.000000,262.624603,28533850
2015-10-12,25200.000000,25260.000000,24940.000000,25200.000000,260.556702,18948700
2015-10-13,25200.000000,25440.000000,24960.000000,25040.000000,258.902344,9900000
2015-10-14,24960.000000,25200.000000,24740.000000,25080.000000,259.315948,8752550
2015-10-15,24880.000000,25640.000000,24860.000000,25380.000000,262.417816,12425150
2015-10-16,25300.000000,25380.000000,25180.000000,25300.000000,261.590637,7198400
2015-10-19,25140.000000,25300.000000,24980.000000,25120.000000,259.729492,5853500
2015-10-20,25200.000000,25460.000000,25120.000000,25320.000000,261.797424,7517350
2015-10-21,25300.000000,25640.000000,25180.000000,25400.000000,262.624603,6978350
2015-10-22,25600.000000,25900.000000,25380.000000,25600.000000,264.692505,11533650
2015-10-23,26000.000000,26000.000000,25560.000000,25780.000000,266.553619,13153550
2015-10-26,25960.000000,25960.000000,25440.000000,25840.000000,267.173950,7608250
2015-10-27,25640.000000,25980.000000,25620.000000,25960.000000,268.414734,6612050
2015-10-28,25880.000000,26160.000000,25820.000000,26160.000000,270.482666,13565150
2015-10-29,26600.000000,27840.000000,26480.000000,26500.000000,273.998108,31523550
2015-10-30,26900.000000,27800.000000,26820.000000,27440.000000,283.717255,25469250
2015-11-02,27700.000000,27860.000000,27480.000000,27660.000000,285.991943,19327300
2015-11-03,27620.000000,27620.000000,27000.000000,27040.000000,279.581421,15092000
2015-11-04,27040.000000,27220.000000,26520.000000,26600.000000,275.032043,14053500
2015-11-05,26600.000000,27080.000000,26600.000000,26840.000000,277.513550,8652100
2015-11-06,26860.000000,26960.000000,26600.000000,26760.000000,276.686432,8216100
2015-11-09,26760.000000,26880.000000,26420.000000,26880.000000,277.927124,9283050
2015-11-10,26720.000000,26820.000000,26280.000000,26420.000000,273.170929,9877550
2015-11-11,26420.000000,26900.000000,26420.000000,26660.000000,275.652435,7022450
2015-11-12,26660.000000,26680.000000,26340.000000,26340.000000,272.343750,7870850
2015-11-13,26340.000000,26340.000000,26000.000000,26000.000000,268.828308,8883850
2015-11-16,25820.000000,25820.000000,25260.000000,25260.000000,261.177063,13785250
2015-11-17,25500.000000,25800.000000,25400.000000,25400.000000,262.624603,9309200
2015-11-18,25440.000000,25800.000000,25440.000000,25620.000000,264.899292,8386750
2015-11-19,25800.000000,25800.000000,25420.000000,25780.000000,266.553619,9642500
2015-11-20,25780.000000,25920.000000,25560.000000,25700.000000,265.726440,8436000
2015-11-23,25700.000000,26040.000000,25620.000000,25640.000000,265.106079,9941000
2015-11-24,25640.000000,26100.000000,25640.000000,25980.000000,268.621521,7978000
2015-11-25,26000.000000,26200.000000,25980.000000,25980.000000,268.621521,7131350
2015-11-26,25980.000000,26800.000000,25980.000000,26700.000000,276.065979,9290000
2015-11-27,26900.000000,26980.000000,26540.000000,26540.000000,274.411682,8492700
2015-11-30,26500.000000,26500.000000,25680.000000,25680.000000,265.519653,26700300
2015-12-01,25880.000000,26440.000000,25760.000000,26420.000000,273.170929,12605650
2015-12-02,26420.000000,26440.000000,25880.000000,26000.000000,268.828308,11481400
2015-12-03,25900.000000,25940.000000,25720.000000,25800.000000,266.760376,8334750
2015-12-04,25500.000000,25600.000000,25340.000000,25380.000000,262.417816,9635550
2015-12-07,25380.000000,25500.000000,25240.000000,25240.000000,260.970245,9805350
2015-12-08,25240.000000,25440.000000,25240.000000,25240.000000,260.970245,6916100
2015-12-09,25240.000000,25500.000000,25240.000000,25260.000000,261.177063,9090600
2015-12-10,25260.000000,25860.000000,25260.000000,25660.000000,265.312866,15193350
2015-12-11,25660.000000,25900.000000,25440.000000,25680.000000,265.519653,10336450
2015-12-14,25460.000000,25460.000000,25100.000000,25220.000000,260.763519,11140050
2015-12-15,25220.000000,25600.000000,25200.000000,25540.000000,264.072144,8774700
2015-12-16,25560.000000,26200.000000,25560.000000,25980.000000,268.621521,10398100
2015-12-17,26020.000000,26160.000000,25500.000000,25800.000000,266.760376,8733850
2015-12-18,25300.000000,25760.000000,25280.000000,25560.000000,264.278900,8418450
2015-12-21,25560.000000,25700.000000,25220.000000,25600.000000,264.692505,8023300
2015-12-22,25600.000000,25840.000000,25340.000000,25840.000000,267.173950,10309600
2015-12-23,25840.000000,25980.000000,25640.000000,25900.000000,267.794342,10357400
2015-12-24,25900.000000,26000.000000,25700.000000,25700.000000,265.726440,7807550
2015-12-28,25700.000000,25780.000000,25320.000000,25320.000000,261.797424,11361500
2015-12-29,25300.000000,25320.000000,24820.000000,25080.000000,1234.187866,11647200
2015-12-30,25200.000000,25440.000000,25080.000000,25200.000000,1240.093018,10197900
2016-01-04,25200.000000,25200.000000,24100.000000,24100.000000,1185.962036,15346950
2016-01-05,24040.000000,24360.000000,23720.000000,24160.000000,1188.914551,10800100
2016-01-06,24160.000000,24160.000000,23360.000000,23500.000000,1156.435791,18337600
2016-01-07,23320.000000,23660.000000,23020.000000,23260.000000,1144.625488,14119400
2016-01-08,23260.000000,23720.000000,23260.000000,23420.000000,1152.499023,12888150
2016-01-11,23120.000000,23320.000000,22920.000000,23040.000000,1133.799316,12063850
2016-01-12,22960.000000,23320.000000,22880.000000,22920.000000,1127.894043,10314150
2016-01-13,23060.000000,23180.000000,22960.000000,22960.000000,1129.862427,7165800
2016-01-14,22620.000000,22840.000000,22620.000000,22760.000000,1120.020386,10451100
2016-01-15,22800.000000,23040.000000,22480.000000,22640.000000,1114.115234,10473200
2016-01-18,21760.000000,22660.000000,21760.000000,22520.000000,1108.209961,16010700
2016-01-19,22560.000000,23420.000000,22560.000000,23420.000000,1152.499023,10362100
2016-01-20,23200.000000,23200.000000,22640.000000,22760.000000,1120.020386,8352600
2016-01-21,22660.000000,23100.000000,22500.000000,22620.000000,1113.130859,9517600
2016-01-22,22900.000000,23360.000000,22900.000000,23360.000000,1149.546509,7376400
2016-01-25,23440.000000,23520.000000,23120.000000,23240.000000,1143.641235,7995650
2016-01-26,23100.000000,23140.000000,22720.000000,22740.000000,1119.036133,7619950
2016-01-27,22520.000000,23500.000000,22520.000000,23500.000000,1156.435791,13811850
2016-01-28,23280.000000,23360.000000,22780.000000,22900.000000,1126.909790,15795600
2016-01-29,22800.000000,23000.000000,22320.000000,23000.000000,1131.830811,21849150
2016-02-01,23040.000000,23260.000000,23020.000000,23260.000000,1144.625488,12998950
2016-02-02,23220.000000,23320.000000,22940.000000,23120.000000,1137.735962,8317400
2016-02-03,23000.000000,23040.000000,22740.000000,22920.000000,1127.894043,8725350
2016-02-04,23000.000000,23220.000000,22960.000000,23120.000000,1137.735962,12397950
2016-02-05,23120.000000,23380.000000,23120.000000,23280.000000,1145.609619,9404700
2016-02-11,22360.000000,22740.000000,22360.000000,22600.000000,1112.146851,15263100
2016-02-12,22600.000000,23020.000000,22440.000000,22600.000000,1112.146851,12811600
2016-02-15,23080.000000,23200.000000,22880.000000,23080.000000,1135.767578,9157300
2016-02-16,23160.000000,23580.000000,23140.000000,23360.000000,1149.546509,9020050
2016-02-17,23580.000000,24020.000000,23380.000000,23700.000000,1166.277832,12303100
2016-02-18,24060.000000,24060.000000,23560.000000,23740.000000,1168.246216,11124050
2016-02-19,23740.000000,23900.000000,23480.000000,23800.000000,1171.198853,8842600
2016-02-22,23800.000000,23840.000000,23320.000000,23500.000000,1156.435791,8744950
2016-02-23,23580.000000,23780.000000,23460.000000,23620.000000,1162.341064,7383700
2016-02-24,23560.000000,23580.000000,23220.000000,23440.000000,1153.483276,7024200
2016-02-25,23440.000000,23740.000000,23440.000000,23580.000000,1160.372681,6681750
2016-02-26,23600.000000,23740.000000,23440.000000,23440.000000,1153.483276,8867200
2016-02-29,23580.000000,23880.000000,23520.000000,23560.000000,1159.388550,14434000
2016-03-02,24000.000000,24140.000000,23920.000000,23940.000000,1178.088379,11818600
2016-03-03,24260.000000,24400.000000,24040.000000,24400.000000,1200.724976,10949550
2016-03-04,24400.000000,24560.000000,24040.000000,24300.000000,1195.803955,10074500
2016-03-07,24400.000000,24620.000000,24300.000000,24460.000000,1203.677612,6568800
2016-03-08,24460.000000,24480.000000,23720.000000,23840.000000,1173.167236,10810100
2016-03-09,23760.000000,23980.000000,23540.000000,23880.000000,1175.135620,9169000
2016-03-10,24160.000000,24720.000000,24020.000000,24500.000000,1205.645996,14177000
2016-03-11,24500.000000,25060.000000,24320.000000,24980.000000,1229.266846,13361250
2016-03-14,25340.000000,25460.000000,24980.000000,25100.000000,1235.172119,10857700
2016-03-15,25100.000000,25280.000000,24920.000000,25060.000000,1233.203613,8640400
2016-03-16,25120.000000,25260.000000,25060.000000,25120.000000,1236.156006,7342800
